condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,yes_no,US-1935-NIRA-SCHECHTER,1935,,-0.151102,-0.529425
talkie_cpt,yes_no,US-1935-NLRA,1935,labor_wages,-0.122753,-0.429544
talkie_cpt,yes_no,US-1935-SOCIAL-SECURITY,1935,labor_wages|social_welfare,-0.136527,-0.444093
talkie_cpt,yes_no,US-1936-AAA-BUTLER,1936,finance_banking,-0.112762,-0.548169
talkie_cpt,yes_no,US-1937-JONES-LAUGHLIN,1937,labor_wages,-0.092622,-0.470957
talkie_cpt,yes_no,US-1937-WEST-COAST-HOTEL,1937,labor_wages,-0.107199,-0.600975
talkie_cpt,yes_no,US-1938-FDCA,1938,health_medical,-0.084652,-0.549524
talkie_cpt,yes_no,US-1938-FLSA,1938,labor_wages,-0.087560,-0.549941
talkie_cpt,yes_no,US-1941-EO8802,1941,civil_rights|labor_wages|natl_security,-0.040451,-0.375483
talkie_cpt,yes_no,US-1935-PUHCA,1935,,-0.147270,-0.507856
talkie_cpt,yes_no,US-1936-RURAL-ELECTRIFICATION,1936,,-0.129696,-0.590821
talkie_cpt,yes_no,US-1939-HATCH-ACT,1939,,-0.084927,-0.649783
talkie_cpt,yes_no,US-1940-SELECTIVE-TRAINING,1940,,-0.057330,-0.526042
talkie_cpt,yes_no,US-1940-SMITH-ACT,1940,crim_justice,-0.061319,-0.622949
talkie_cpt,yes_no,US-1941-DARBY,1941,labor_wages,-0.028827,-0.207839
talkie_cpt,yes_no,US-1941-LEND-LEASE,1941,natl_security,-0.030860,-0.203818
talkie_cpt,yes_no,US-1942-WICKARD,1942,,-0.024399,-0.487749
talkie_cpt,yes_no,US-1942-EMERGENCY-PRICE-CONTROL,1942,natl_security,-0.031411,-0.448608
talkie_cpt,yes_no,US-1942-EO9066,1942,natl_security,-0.018681,-0.393340
talkie_cpt,yes_no,US-1943-CHINESE-EXCLUSION-REPEAL,1943,,-0.001472,-0.162490
talkie_cpt,yes_no,US-1944-GI-BILL,1944,labor_wages|social_welfare,-0.001689,-0.054186
talkie_cpt,yes_no,US-1944-KOREMATSU,1944,natl_security,0.006456,-0.018499
talkie_cpt,yes_no,US-1945-BRETTON-WOODS,1945,finance_banking,-0.005125,-0.194897
talkie_cpt,yes_no,US-1945-UN-PARTICIPATION,1945,natl_security|finance_banking,-0.000457,-0.134262
talkie_cpt,yes_no,US-1946-EMPLOYMENT-ACT,1946,labor_wages,-0.003641,-0.035084
talkie_cpt,yes_no,US-1946-APA,1946,,-0.000340,-0.025111
talkie_cpt,yes_no,US-1947-NATIONAL-SECURITY-ACT,1947,natl_security|finance_banking,0.000539,0.041630
talkie_cpt,yes_no,US-1947-TAFT-HARTLEY,1947,labor_wages,-0.001547,0.007196
talkie_cpt,yes_no,US-1947-TRUMAN-DOCTRINE,1947,,-0.005564,-0.061784
talkie_cpt,yes_no,US-1948-EO9981,1948,civil_rights,-0.009526,-0.045609
talkie_cpt,yes_no,US-1948-DISPLACED-PERSONS-ACT,1948,natl_security,-0.008233,-0.023292
