year,step
1931,150975
1932,152287
1933,153408
1934,154528
1935,155694
1936,156576
1937,157395
1938,158487
1939,159519
1940,160288
1941,161320
1942,162156
1943,163268
1944,164582
1945,165763
1946,166677
1947,167490
1948,168548
1949,169194
1950,169969
1951,170683
1952,171573
1953,172404
1954,173388
1955,174444
1956,175114
1957,175903
1958,176657
1959,177756
1960,178733
1961,179554
1962,180499
1963,181337
1964,181998
1965,182724
1966,183415
1967,184141
1968,184973
1969,185898
1970,186870
1971,187795
1972,188713
1973,189667
1974,190601
1975,191532
1976,192458
1977,193419
1978,194357
1979,195328
1980,196360
1981,197388
1982,198784
1983,199822
1984,200927
1985,202084
1986,203356
1987,204738
1988,206259
1989,207883
1990,209591
1991,211381
1992,213288
1993,215195
1994,217103
1995,219010
1996,220918
1997,222825
1998,224732
1999,226640
2000,228547
2001,230454
2002,232362
2003,234269
2004,236176
2005,238084
2006,239991
2007,241898
2008,243806
2009,245713
2010,247621
2011,249528
2012,251435
2013,253343
2014,255250
2015,257157
2016,259065
2017,260972
2018,262879
2019,264787
2020,266694
