X,year_model,policy_id,enactment_year,rel_year,p_yes,likert,domain,institution
10000,1931,US-1933-GLASS-STEAGALL,1933,-2,0.2232,-0.177,finance,Congress
10000,1931,US-1933-PROHIBITION-REPEAL,1933,-2,0.2469,-0.1926,morals_federalism,constitutional_amendment
10000,1931,US-1933-SECURITIES-ACT,1933,-2,0.1359,-0.1584,finance_consumer_protection,Congress
10000,1931,US-1934-EXCHANGE-ACT,1934,-3,0.1208,-0.172,finance_state_capacity,Congress
10000,1931,US-1934-IRA,1934,-3,0.1659,-0.1877,native_policy,Congress
10000,1931,US-1934-NATIONAL-HOUSING-ACT,1934,-3,0.1895,-0.1611,housing_finance,Congress
10000,1931,US-1935-NIRA-SCHECHTER,1935,-4,0.1541,-0.1669,state_capacity,Supreme Court
10000,1931,US-1935-NLRA,1935,-4,0.2417,-0.2196,labor,Congress
10000,1931,US-1935-SOCIAL-SECURITY,1935,-4,0.2398,-0.1733,social_insurance,Congress
10000,1931,US-1936-AAA-BUTLER,1936,-5,0.1432,-0.1826,state_capacity,Supreme Court
10000,1931,US-1937-JONES-LAUGHLIN,1937,-6,0.1125,-0.1649,labor_state_capacity,Supreme Court
10000,1931,US-1937-WEST-COAST-HOTEL,1937,-6,0.1195,-0.1887,labor,Supreme Court
10000,1931,US-1938-FDCA,1938,-7,0.146,-0.2007,consumer_health,Congress
10000,1931,US-1938-FLSA,1938,-7,0.2627,-0.2095,labor,Congress
10000,1931,US-1941-EO8802,1941,-10,0.0952,-0.1715,civil_rights,President
10000,1931,US-1930-SMOOT-HAWLEY,1930,1,0.1678,-0.1624,trade_political_economy,Congress
10000,1931,US-1932-RFC,1932,-1,0.2152,-0.1733,finance_crisis_state_capacity,Congress
10000,1931,US-1932-NORRIS-LAGUARDIA,1932,-1,0.0681,-0.1769,labor_courts,Congress
10000,1931,US-1933-CCC,1933,-2,0.1971,-0.1763,public_employment_environment,Congress
10000,1931,US-1933-FERA,1933,-2,0.2105,-0.1777,welfare_relief,Congress
10000,1931,US-1933-HOME-OWNERS-LOAN,1933,-2,0.1675,-0.1561,housing_finance,Congress
10000,1931,US-1934-NFA,1934,-3,0.1561,-0.192,guns_crime_tax,Congress
10000,1931,US-1935-PUHCA,1935,-4,0.1319,-0.1367,utilities_finance,Congress
10000,1931,US-1936-RURAL-ELECTRIFICATION,1936,-5,0.1246,-0.1884,rural_infrastructure,Congress
10000,1931,US-1939-HATCH-ACT,1939,-8,0.1883,-0.19,civil_service_elections,Congress
10000,1931,US-1940-SELECTIVE-TRAINING,1940,-9,0.144,-0.1819,military_state_capacity,Congress
10000,1931,US-1940-SMITH-ACT,1940,-9,0.1035,-0.1616,security_civil_liberties_immigration,Congress
10000,1931,US-1941-DARBY,1941,-10,0.1717,-0.1767,labor_state_capacity,Supreme Court
10000,1931,US-1941-LEND-LEASE,1941,-10,0.1442,-0.16,foreign_policy_security,Congress
10000,1931,US-1933-TVA,1933,-2,0.2476,-0.1813,regional_development_state_capacity,Congress
10000,1931,US-1933-NIRA,1933,-2,0.1878,-0.1717,industrial_policy_labor_state_capacity,Congress
20000,1931,US-1933-GLASS-STEAGALL,1933,-2,0.419,-0.139,finance,Congress
20000,1931,US-1933-PROHIBITION-REPEAL,1933,-2,0.4562,-0.1664,morals_federalism,constitutional_amendment
20000,1931,US-1933-SECURITIES-ACT,1933,-2,0.3438,-0.1344,finance_consumer_protection,Congress
20000,1931,US-1934-EXCHANGE-ACT,1934,-3,0.3314,-0.1314,finance_state_capacity,Congress
20000,1931,US-1934-IRA,1934,-3,0.3468,-0.155,native_policy,Congress
20000,1931,US-1934-NATIONAL-HOUSING-ACT,1934,-3,0.47,-0.1227,housing_finance,Congress
20000,1931,US-1935-NIRA-SCHECHTER,1935,-4,0.3991,-0.1302,state_capacity,Supreme Court
20000,1931,US-1935-NLRA,1935,-4,0.4946,-0.179,labor,Congress
20000,1931,US-1935-SOCIAL-SECURITY,1935,-4,0.4775,-0.107,social_insurance,Congress
20000,1931,US-1936-AAA-BUTLER,1936,-5,0.3569,-0.1453,state_capacity,Supreme Court
20000,1931,US-1937-JONES-LAUGHLIN,1937,-6,0.3103,-0.1398,labor_state_capacity,Supreme Court
20000,1931,US-1937-WEST-COAST-HOTEL,1937,-6,0.3354,-0.1454,labor,Supreme Court
20000,1931,US-1938-FDCA,1938,-7,0.3546,-0.1591,consumer_health,Congress
20000,1931,US-1938-FLSA,1938,-7,0.4686,-0.1688,labor,Congress
20000,1931,US-1941-EO8802,1941,-10,0.2639,-0.1156,civil_rights,President
20000,1931,US-1930-SMOOT-HAWLEY,1930,1,0.3713,-0.128,trade_political_economy,Congress
20000,1931,US-1932-RFC,1932,-1,0.4131,-0.1295,finance_crisis_state_capacity,Congress
20000,1931,US-1932-NORRIS-LAGUARDIA,1932,-1,0.2471,-0.1245,labor_courts,Congress
20000,1931,US-1933-CCC,1933,-2,0.4323,-0.109,public_employment_environment,Congress
20000,1931,US-1933-FERA,1933,-2,0.4418,-0.1222,welfare_relief,Congress
20000,1931,US-1933-HOME-OWNERS-LOAN,1933,-2,0.3321,-0.1046,housing_finance,Congress
20000,1931,US-1934-NFA,1934,-3,0.3974,-0.156,guns_crime_tax,Congress
20000,1931,US-1935-PUHCA,1935,-4,0.2986,-0.1075,utilities_finance,Congress
20000,1931,US-1936-RURAL-ELECTRIFICATION,1936,-5,0.3158,-0.1361,rural_infrastructure,Congress
20000,1931,US-1939-HATCH-ACT,1939,-8,0.4214,-0.1534,civil_service_elections,Congress
20000,1931,US-1940-SELECTIVE-TRAINING,1940,-9,0.2988,-0.1444,military_state_capacity,Congress
20000,1931,US-1940-SMITH-ACT,1940,-9,0.3183,-0.1053,security_civil_liberties_immigration,Congress
20000,1931,US-1941-DARBY,1941,-10,0.4335,-0.1468,labor_state_capacity,Supreme Court
20000,1931,US-1941-LEND-LEASE,1941,-10,0.253,-0.1211,foreign_policy_security,Congress
20000,1931,US-1933-TVA,1933,-2,0.4523,-0.1255,regional_development_state_capacity,Congress
20000,1931,US-1933-NIRA,1933,-2,0.5195,-0.1268,industrial_policy_labor_state_capacity,Congress
5000,1931,US-1933-GLASS-STEAGALL,1933,-2,0.4322,-0.1694,finance,Congress
5000,1931,US-1933-PROHIBITION-REPEAL,1933,-2,0.6987,-0.2132,morals_federalism,constitutional_amendment
5000,1931,US-1933-SECURITIES-ACT,1933,-2,0.4076,-0.1476,finance_consumer_protection,Congress
5000,1931,US-1934-EXCHANGE-ACT,1934,-3,0.2929,-0.1883,finance_state_capacity,Congress
5000,1931,US-1934-IRA,1934,-3,0.4565,-0.1885,native_policy,Congress
5000,1931,US-1934-NATIONAL-HOUSING-ACT,1934,-3,0.4616,-0.1688,housing_finance,Congress
5000,1931,US-1935-NIRA-SCHECHTER,1935,-4,0.5335,-0.1718,state_capacity,Supreme Court
5000,1931,US-1935-NLRA,1935,-4,0.519,-0.1831,labor,Congress
5000,1931,US-1935-SOCIAL-SECURITY,1935,-4,0.4826,-0.1696,social_insurance,Congress
5000,1931,US-1936-AAA-BUTLER,1936,-5,0.3967,-0.1878,state_capacity,Supreme Court
5000,1931,US-1937-JONES-LAUGHLIN,1937,-6,0.3433,-0.1761,labor_state_capacity,Supreme Court
5000,1931,US-1937-WEST-COAST-HOTEL,1937,-6,0.4068,-0.1979,labor,Supreme Court
5000,1931,US-1938-FDCA,1938,-7,0.3377,-0.1928,consumer_health,Congress
5000,1931,US-1938-FLSA,1938,-7,0.5038,-0.2004,labor,Congress
5000,1931,US-1941-EO8802,1941,-10,0.2608,-0.1761,civil_rights,President
5000,1931,US-1930-SMOOT-HAWLEY,1930,1,0.4841,-0.1883,trade_political_economy,Congress
5000,1931,US-1932-RFC,1932,-1,0.5118,-0.1727,finance_crisis_state_capacity,Congress
5000,1931,US-1932-NORRIS-LAGUARDIA,1932,-1,0.2299,-0.1803,labor_courts,Congress
5000,1931,US-1933-CCC,1933,-2,0.4511,-0.159,public_employment_environment,Congress
5000,1931,US-1933-FERA,1933,-2,0.4338,-0.1639,welfare_relief,Congress
5000,1931,US-1933-HOME-OWNERS-LOAN,1933,-2,0.3348,-0.1645,housing_finance,Congress
5000,1931,US-1934-NFA,1934,-3,0.4133,-0.1702,guns_crime_tax,Congress
5000,1931,US-1935-PUHCA,1935,-4,0.3618,-0.1626,utilities_finance,Congress
5000,1931,US-1936-RURAL-ELECTRIFICATION,1936,-5,0.3019,-0.1784,rural_infrastructure,Congress
5000,1931,US-1939-HATCH-ACT,1939,-8,0.4645,-0.1898,civil_service_elections,Congress
5000,1931,US-1940-SELECTIVE-TRAINING,1940,-9,0.4089,-0.1804,military_state_capacity,Congress
5000,1931,US-1940-SMITH-ACT,1940,-9,0.2199,-0.1358,security_civil_liberties_immigration,Congress
5000,1931,US-1941-DARBY,1941,-10,0.4083,-0.1802,labor_state_capacity,Supreme Court
5000,1931,US-1941-LEND-LEASE,1941,-10,0.3325,-0.1561,foreign_policy_security,Congress
5000,1931,US-1933-TVA,1933,-2,0.386,-0.1589,regional_development_state_capacity,Congress
5000,1931,US-1933-NIRA,1933,-2,0.5277,-0.181,industrial_policy_labor_state_capacity,Congress
10000,1932,US-1933-GLASS-STEAGALL,1933,-1,0.3414,-0.1294,finance,Congress
10000,1932,US-1933-PROHIBITION-REPEAL,1933,-1,0.3794,-0.1484,morals_federalism,constitutional_amendment
10000,1932,US-1933-SECURITIES-ACT,1933,-1,0.2887,-0.1245,finance_consumer_protection,Congress
10000,1932,US-1934-EXCHANGE-ACT,1934,-2,0.2294,-0.1279,finance_state_capacity,Congress
10000,1932,US-1934-IRA,1934,-2,0.2625,-0.1482,native_policy,Congress
10000,1932,US-1934-NATIONAL-HOUSING-ACT,1934,-2,0.3887,-0.1163,housing_finance,Congress
10000,1932,US-1935-NIRA-SCHECHTER,1935,-3,0.2699,-0.1194,state_capacity,Supreme Court
10000,1932,US-1935-NLRA,1935,-3,0.4323,-0.1602,labor,Congress
10000,1932,US-1935-SOCIAL-SECURITY,1935,-3,0.3571,-0.097,social_insurance,Congress
10000,1932,US-1936-AAA-BUTLER,1936,-4,0.259,-0.1358,state_capacity,Supreme Court
10000,1932,US-1937-JONES-LAUGHLIN,1937,-5,0.2141,-0.1268,labor_state_capacity,Supreme Court
10000,1932,US-1937-WEST-COAST-HOTEL,1937,-5,0.2967,-0.1367,labor,Supreme Court
10000,1932,US-1938-FDCA,1938,-6,0.2862,-0.1541,consumer_health,Congress
10000,1932,US-1938-FLSA,1938,-6,0.4325,-0.1494,labor,Congress
10000,1932,US-1941-EO8802,1941,-9,0.1987,-0.104,civil_rights,President
10000,1932,US-1942-WICKARD,1942,-10,0.2119,-0.1333,state_capacity,Supreme Court
10000,1932,US-1930-SMOOT-HAWLEY,1930,2,0.3181,-0.1112,trade_political_economy,Congress
10000,1932,US-1932-RFC,1932,0,0.3287,-0.1215,finance_crisis_state_capacity,Congress
10000,1932,US-1932-NORRIS-LAGUARDIA,1932,0,0.1505,-0.1278,labor_courts,Congress
10000,1932,US-1933-CCC,1933,-1,0.3427,-0.1012,public_employment_environment,Congress
10000,1932,US-1933-FERA,1933,-1,0.3752,-0.1112,welfare_relief,Congress
10000,1932,US-1933-HOME-OWNERS-LOAN,1933,-1,0.2657,-0.1084,housing_finance,Congress
10000,1932,US-1934-NFA,1934,-2,0.3363,-0.1521,guns_crime_tax,Congress
10000,1932,US-1935-PUHCA,1935,-3,0.2006,-0.0916,utilities_finance,Congress
10000,1932,US-1936-RURAL-ELECTRIFICATION,1936,-4,0.2492,-0.1405,rural_infrastructure,Congress
10000,1932,US-1939-HATCH-ACT,1939,-7,0.3412,-0.1409,civil_service_elections,Congress
10000,1932,US-1940-SELECTIVE-TRAINING,1940,-8,0.2188,-0.1258,military_state_capacity,Congress
10000,1932,US-1940-SMITH-ACT,1940,-8,0.199,-0.1093,security_civil_liberties_immigration,Congress
10000,1932,US-1941-DARBY,1941,-9,0.3427,-0.1347,labor_state_capacity,Supreme Court
10000,1932,US-1941-LEND-LEASE,1941,-9,0.2057,-0.1145,foreign_policy_security,Congress
10000,1932,US-1942-EMERGENCY-PRICE-CONTROL,1942,-10,0.3785,-0.1297,wartime_economic_control,Congress
10000,1932,US-1933-TVA,1933,-1,0.3664,-0.1234,regional_development_state_capacity,Congress
10000,1932,US-1933-NIRA,1933,-1,0.3871,-0.1167,industrial_policy_labor_state_capacity,Congress
10000,1932,US-1942-EO9066,1942,-10,0.2825,-0.1237,civil_liberties_security_race,President
20000,1932,US-1933-GLASS-STEAGALL,1933,-1,0.3831,-0.1611,finance,Congress
20000,1932,US-1933-PROHIBITION-REPEAL,1933,-1,0.4707,-0.2094,morals_federalism,constitutional_amendment
20000,1932,US-1933-SECURITIES-ACT,1933,-1,0.3534,-0.1654,finance_consumer_protection,Congress
20000,1932,US-1934-EXCHANGE-ACT,1934,-2,0.2892,-0.172,finance_state_capacity,Congress
20000,1932,US-1934-IRA,1934,-2,0.2617,-0.1842,native_policy,Congress
20000,1932,US-1934-NATIONAL-HOUSING-ACT,1934,-2,0.4577,-0.1435,housing_finance,Congress
20000,1932,US-1935-NIRA-SCHECHTER,1935,-3,0.4101,-0.1539,state_capacity,Supreme Court
20000,1932,US-1935-NLRA,1935,-3,0.5434,-0.2083,labor,Congress
20000,1932,US-1935-SOCIAL-SECURITY,1935,-3,0.4958,-0.1247,social_insurance,Congress
20000,1932,US-1936-AAA-BUTLER,1936,-4,0.3955,-0.192,state_capacity,Supreme Court
20000,1932,US-1937-JONES-LAUGHLIN,1937,-5,0.3038,-0.1583,labor_state_capacity,Supreme Court
20000,1932,US-1937-WEST-COAST-HOTEL,1937,-5,0.4033,-0.1755,labor,Supreme Court
20000,1932,US-1938-FDCA,1938,-6,0.3552,-0.181,consumer_health,Congress
20000,1932,US-1938-FLSA,1938,-6,0.4832,-0.1954,labor,Congress
20000,1932,US-1941-EO8802,1941,-9,0.3007,-0.1568,civil_rights,President
20000,1932,US-1942-WICKARD,1942,-10,0.3186,-0.1955,state_capacity,Supreme Court
20000,1932,US-1930-SMOOT-HAWLEY,1930,2,0.4418,-0.1674,trade_political_economy,Congress
20000,1932,US-1932-RFC,1932,0,0.4506,-0.1569,finance_crisis_state_capacity,Congress
20000,1932,US-1932-NORRIS-LAGUARDIA,1932,0,0.205,-0.1534,labor_courts,Congress
20000,1932,US-1933-CCC,1933,-1,0.452,-0.1315,public_employment_environment,Congress
20000,1932,US-1933-FERA,1933,-1,0.4656,-0.1397,welfare_relief,Congress
20000,1932,US-1933-HOME-OWNERS-LOAN,1933,-1,0.3273,-0.1263,housing_finance,Congress
20000,1932,US-1934-NFA,1934,-2,0.3896,-0.2153,guns_crime_tax,Congress
20000,1932,US-1935-PUHCA,1935,-3,0.1864,-0.1224,utilities_finance,Congress
20000,1932,US-1936-RURAL-ELECTRIFICATION,1936,-4,0.3365,-0.158,rural_infrastructure,Congress
20000,1932,US-1939-HATCH-ACT,1939,-7,0.4226,-0.1983,civil_service_elections,Congress
20000,1932,US-1940-SELECTIVE-TRAINING,1940,-8,0.2796,-0.1806,military_state_capacity,Congress
20000,1932,US-1940-SMITH-ACT,1940,-8,0.1969,-0.135,security_civil_liberties_immigration,Congress
20000,1932,US-1941-DARBY,1941,-9,0.4208,-0.1716,labor_state_capacity,Supreme Court
20000,1932,US-1941-LEND-LEASE,1941,-9,0.2043,-0.1471,foreign_policy_security,Congress
20000,1932,US-1942-EMERGENCY-PRICE-CONTROL,1942,-10,0.4486,-0.1755,wartime_economic_control,Congress
20000,1932,US-1933-TVA,1933,-1,0.3771,-0.1468,regional_development_state_capacity,Congress
20000,1932,US-1933-NIRA,1933,-1,0.4515,-0.1516,industrial_policy_labor_state_capacity,Congress
20000,1932,US-1942-EO9066,1942,-10,0.3469,-0.146,civil_liberties_security_race,President
5000,1932,US-1933-GLASS-STEAGALL,1933,-1,0.1986,-0.1079,finance,Congress
5000,1932,US-1933-PROHIBITION-REPEAL,1933,-1,0.2411,-0.1297,morals_federalism,constitutional_amendment
5000,1932,US-1933-SECURITIES-ACT,1933,-1,0.1518,-0.0955,finance_consumer_protection,Congress
5000,1932,US-1934-EXCHANGE-ACT,1934,-2,0.1249,-0.1069,finance_state_capacity,Congress
5000,1932,US-1934-IRA,1934,-2,0.1645,-0.1152,native_policy,Congress
5000,1932,US-1934-NATIONAL-HOUSING-ACT,1934,-2,0.1866,-0.1005,housing_finance,Congress
5000,1932,US-1935-NIRA-SCHECHTER,1935,-3,0.148,-0.1067,state_capacity,Supreme Court
5000,1932,US-1935-NLRA,1935,-3,0.2567,-0.1309,labor,Congress
5000,1932,US-1935-SOCIAL-SECURITY,1935,-3,0.1949,-0.1016,social_insurance,Congress
5000,1932,US-1936-AAA-BUTLER,1936,-4,0.1265,-0.1112,state_capacity,Supreme Court
5000,1932,US-1937-JONES-LAUGHLIN,1937,-5,0.1081,-0.1074,labor_state_capacity,Supreme Court
5000,1932,US-1937-WEST-COAST-HOTEL,1937,-5,0.1347,-0.1232,labor,Supreme Court
5000,1932,US-1938-FDCA,1938,-6,0.1591,-0.1304,consumer_health,Congress
5000,1932,US-1938-FLSA,1938,-6,0.2717,-0.1257,labor,Congress
5000,1932,US-1941-EO8802,1941,-9,0.0852,-0.1077,civil_rights,President
5000,1932,US-1942-WICKARD,1942,-10,0.1203,-0.1133,state_capacity,Supreme Court
5000,1932,US-1930-SMOOT-HAWLEY,1930,2,0.1792,-0.0961,trade_political_economy,Congress
5000,1932,US-1932-RFC,1932,0,0.1811,-0.1118,finance_crisis_state_capacity,Congress
5000,1932,US-1932-NORRIS-LAGUARDIA,1932,0,0.0634,-0.1128,labor_courts,Congress
5000,1932,US-1933-CCC,1933,-1,0.1605,-0.1031,public_employment_environment,Congress
5000,1932,US-1933-FERA,1933,-1,0.2019,-0.1026,welfare_relief,Congress
5000,1932,US-1933-HOME-OWNERS-LOAN,1933,-1,0.1488,-0.1019,housing_finance,Congress
5000,1932,US-1934-NFA,1934,-2,0.1574,-0.1143,guns_crime_tax,Congress
5000,1932,US-1935-PUHCA,1935,-3,0.108,-0.093,utilities_finance,Congress
5000,1932,US-1936-RURAL-ELECTRIFICATION,1936,-4,0.1101,-0.1281,rural_infrastructure,Congress
5000,1932,US-1939-HATCH-ACT,1939,-7,0.1997,-0.1173,civil_service_elections,Congress
5000,1932,US-1940-SELECTIVE-TRAINING,1940,-8,0.1212,-0.1128,military_state_capacity,Congress
5000,1932,US-1940-SMITH-ACT,1940,-8,0.1006,-0.0898,security_civil_liberties_immigration,Congress
5000,1932,US-1941-DARBY,1941,-9,0.1728,-0.1118,labor_state_capacity,Supreme Court
5000,1932,US-1941-LEND-LEASE,1941,-9,0.1107,-0.101,foreign_policy_security,Congress
5000,1932,US-1942-EMERGENCY-PRICE-CONTROL,1942,-10,0.2098,-0.1117,wartime_economic_control,Congress
5000,1932,US-1933-TVA,1933,-1,0.1969,-0.1165,regional_development_state_capacity,Congress
5000,1932,US-1933-NIRA,1933,-1,0.2079,-0.1031,industrial_policy_labor_state_capacity,Congress
5000,1932,US-1942-EO9066,1942,-10,0.1783,-0.1241,civil_liberties_security_race,President
10000,1933,US-1933-GLASS-STEAGALL,1933,0,0.4121,-0.1339,finance,Congress
10000,1933,US-1933-PROHIBITION-REPEAL,1933,0,0.4657,-0.1723,morals_federalism,constitutional_amendment
10000,1933,US-1933-SECURITIES-ACT,1933,0,0.3712,-0.1203,finance_consumer_protection,Congress
10000,1933,US-1934-EXCHANGE-ACT,1934,-1,0.2667,-0.1389,finance_state_capacity,Congress
10000,1933,US-1934-IRA,1934,-1,0.2959,-0.1687,native_policy,Congress
10000,1933,US-1934-NATIONAL-HOUSING-ACT,1934,-1,0.5132,-0.1167,housing_finance,Congress
10000,1933,US-1935-NIRA-SCHECHTER,1935,-2,0.3681,-0.1262,state_capacity,Supreme Court
10000,1933,US-1935-NLRA,1935,-2,0.5563,-0.1663,labor,Congress
10000,1933,US-1935-SOCIAL-SECURITY,1935,-2,0.4883,-0.1079,social_insurance,Congress
10000,1933,US-1936-AAA-BUTLER,1936,-3,0.3582,-0.1487,state_capacity,Supreme Court
10000,1933,US-1937-JONES-LAUGHLIN,1937,-4,0.3027,-0.1388,labor_state_capacity,Supreme Court
10000,1933,US-1937-WEST-COAST-HOTEL,1937,-4,0.3737,-0.1569,labor,Supreme Court
10000,1933,US-1938-FDCA,1938,-5,0.383,-0.1596,consumer_health,Congress
10000,1933,US-1938-FLSA,1938,-5,0.5171,-0.1672,labor,Congress
10000,1933,US-1941-EO8802,1941,-8,0.3028,-0.1285,civil_rights,President
10000,1933,US-1942-WICKARD,1942,-9,0.2724,-0.1491,state_capacity,Supreme Court
10000,1933,US-1930-SMOOT-HAWLEY,1930,3,0.434,-0.1193,trade_political_economy,Congress
10000,1933,US-1932-RFC,1932,1,0.4407,-0.1251,finance_crisis_state_capacity,Congress
10000,1933,US-1932-NORRIS-LAGUARDIA,1932,1,0.2132,-0.14,labor_courts,Congress
10000,1933,US-1933-CCC,1933,0,0.44,-0.1098,public_employment_environment,Congress
10000,1933,US-1933-FERA,1933,0,0.4575,-0.1194,welfare_relief,Congress
10000,1933,US-1933-HOME-OWNERS-LOAN,1933,0,0.3421,-0.1117,housing_finance,Congress
10000,1933,US-1934-NFA,1934,-1,0.35,-0.1686,guns_crime_tax,Congress
10000,1933,US-1935-PUHCA,1935,-2,0.194,-0.1025,utilities_finance,Congress
10000,1933,US-1936-RURAL-ELECTRIFICATION,1936,-3,0.3533,-0.1371,rural_infrastructure,Congress
10000,1933,US-1939-HATCH-ACT,1939,-6,0.4232,-0.1524,civil_service_elections,Congress
10000,1933,US-1940-SELECTIVE-TRAINING,1940,-7,0.2872,-0.1483,military_state_capacity,Congress
10000,1933,US-1940-SMITH-ACT,1940,-7,0.2308,-0.1123,security_civil_liberties_immigration,Congress
10000,1933,US-1941-DARBY,1941,-8,0.4637,-0.1456,labor_state_capacity,Supreme Court
10000,1933,US-1941-LEND-LEASE,1941,-8,0.198,-0.1287,foreign_policy_security,Congress
10000,1933,US-1942-EMERGENCY-PRICE-CONTROL,1942,-9,0.4499,-0.1306,wartime_economic_control,Congress
10000,1933,US-1943-CHINESE-EXCLUSION-REPEAL,1943,-10,0.2918,-0.1121,immigration_race_foreign_policy,Congress
10000,1933,US-1933-TVA,1933,0,0.4122,-0.1237,regional_development_state_capacity,Congress
10000,1933,US-1933-NIRA,1933,0,0.4971,-0.1213,industrial_policy_labor_state_capacity,Congress
10000,1933,US-1942-EO9066,1942,-9,0.3763,-0.1352,civil_liberties_security_race,President
20000,1933,US-1933-GLASS-STEAGALL,1933,0,0.2857,-0.1214,finance,Congress
20000,1933,US-1933-PROHIBITION-REPEAL,1933,0,0.4985,-0.2019,morals_federalism,constitutional_amendment
20000,1933,US-1933-SECURITIES-ACT,1933,0,0.2491,-0.1025,finance_consumer_protection,Congress
20000,1933,US-1934-EXCHANGE-ACT,1934,-1,0.2131,-0.1424,finance_state_capacity,Congress
20000,1933,US-1934-IRA,1934,-1,0.2158,-0.1456,native_policy,Congress
20000,1933,US-1934-NATIONAL-HOUSING-ACT,1934,-1,0.3963,-0.102,housing_finance,Congress
20000,1933,US-1935-NIRA-SCHECHTER,1935,-2,0.2981,-0.1386,state_capacity,Supreme Court
20000,1933,US-1935-NLRA,1935,-2,0.5276,-0.1614,labor,Congress
20000,1933,US-1935-SOCIAL-SECURITY,1935,-2,0.475,-0.0786,social_insurance,Congress
20000,1933,US-1936-AAA-BUTLER,1936,-3,0.3176,-0.1632,state_capacity,Supreme Court
20000,1933,US-1937-JONES-LAUGHLIN,1937,-4,0.2147,-0.1246,labor_state_capacity,Supreme Court
20000,1933,US-1937-WEST-COAST-HOTEL,1937,-4,0.3387,-0.1647,labor,Supreme Court
